,YTY 82T,YTY 84T,YTY 88T,YTY 78T,YTO 68T,YTO 92T,YTO 70T,YTY 94T,YTY 96T,YTY 81T,YTY 115T,YTY 95T,YTY 121T,YTY 91T,YTY 91N,YTO 71T,YTO 65T,YTO 78T,YTO 89T,YTO 67T,YTO 98T,YTO 98N
ILMN_1715760,47.27828,61.41606,60.10844,98.06572,67.09216,73.59174,60.1775,92.5127,82.61503,84.26227,102.6872,121.9636,80.02371,129.5021,90.23976,111.1571,77.29588,106.9738,83.63726,94.21702,86.45178,96.09077
ILMN_1714167,39.55766,43.21531,38.61803,48.1652,50.55142,37.81784,37.40142,50.8764,55.99023,50.35829,55.77079,52.26502,50.44454,66.58158,56.13803,64.98811,57.13525,66.94021,52.08277,53.50745,52.57226,55.56189
ILMN_1745737,499.8959,679693,1504478,2695679,1289975,855.1898,615.2366,1375345,773.9731,638.2687,1487228,471.6541,1247913,2082662,1298957,1478314,1076327,1483328,1015214,1263373,1411815,1044494
ILMN_1748358,42.57136,42.73318,40.09769,50.01727,49.70201,44.45918,42.08901,54.09734,55.04656,47437,51.95792,54.8874,50.12453,62.57364,52.41158,69.61162,51.68733,61.21143,52.74686,53.76356,54.38854,55.77451
ILMN_1670130,52.89912,113.1257,116.1254,76.5262,91.55814,109.5869,218.9214,436907,109.2475,283.0965,125.3888,167.1309,138.2118,388.65,322.5332,139.5046,129.7571,284.2935,92.1992,131.0094,166.1334,252.5003
ILMN_2135898,45.51091,42.24939,44.22573,72.85396,57.40928,49.68645,43.69038,73.21637,68.14121,53.68094,62.86821,58.09313,61.78095,79.07188,67.74699,65.50859,59.91208,73.33797,64.29853,67.48795,62.87971,76.76822
ILMN_1655532,144.5593,207.1722,285.6286,667.0275,307.9196,267252,176.4616,424.9624,234243,275.1495,549.7377,383.3863,268.5683,700.5899,405225,357.0875,272.5255,439.2272,271.3181,339.4988,448.3525,408.3802
ILMN_1735578,42.96666,47.80696,47.12388,54.10015,53.25101,52.17897,44.61537,57.77975,56.60272,61.03964,63.36996,61.23782,51.08895,74.72241,56.32061,68.99825,57.47701,63.71621,54.9445,60.67093,61.39431,59.11936
ILMN_1779917,4280925,11309.48,5086839,8414465,7999.66,10598.42,8500711,9429847,6409953,8688048,9633549,8128715,5988.67,8218999,6643993,6617615,6960719,9008836,7806314,5549878,8456994,9380659
ILMN_2305407,37.16967,40.42923,43.09236,52069,41.05713,46.49702,37.19483,55.79336,51.3072,51.04288,55.89964,52.56733,60.73626,55.44917,50.2782,68.69009,53.94543,56.64518,49.03461,54.94662,54.88574,56.57333
ILMN_2382724,40.80558,60.68129,52.61402,73.94895,61.77177,57.42706,53.65024,78.65005,68.69344,71.49151,83.60948,88.31521,76.51705,120.7242,90.56223,109.1627,73.17139,87.31022,77.03557,72.83691,87.33882,72.22416
ILMN_1696434,37.51424,48.81617,39.29176,55.42064,52.8051,56.9526,38.51548,70.91932,65.93941,68.82403,76.07207,72.69843,65.36427,85.28271,69.37547,89.39527,60.38901,74.59928,82.64162,72.82792,77.93077,68462
ILMN_2369785,175.2029,380.0381,258.08,351.0471,415.0392,204.2596,288.2458,329.9125,278.6472,325.7924,420.0156,558.5178,292.6604,374.4537,219144,481.2105,420.1488,343.6126,298.3376,300.5099,315.0506,260.1019
ILMN_1766803,110.7089,107.4736,433.6562,556.9661,425.1348,90.40128,262.2122,182.8763,115.2999,140.8036,197.9445,285.5759,291.3213,470.9116,215.6408,364261,324.1696,321.6182,226.3983,279.2473,270.4442,217.4092
ILMN_2171789,78.37684,72.01807,169.0812,97.52831,202.6977,155.4261,139.7729,111.4728,138423,192.1523,104.9277,75.51541,158.3227,232.0252,126.4435,138.6931,211.6352,144.9394,167.0752,192.5427,141.8634,116.9888
ILMN_2294123,349.8723,718.2599,839.2005,1710087,1132975,670.8538,578.9895,1430.12,640.2065,785.1017,1140205,617.94,962.1327,1617299,1011077,1356485,1092905,1296884,1044795,1020.02,938791,902.3183
ILMN_1781700,42.72481,47.99939,53.33781,61.49848,55.83186,52.68764,43.69092,64.8924,62.93849,53.93892,58.20208,70.80793,67.68761,120.9125,61.4729,86.69093,69.82466,86.27511,63.07806,90.51766,73.59277,63.08736
ILMN_1660079,57.03728,59.61777,70.37003,156.0403,89.32296,61.60152,59.73201,87.75328,75.55161,73.69211,81.21066,65.21071,90.32131,97.46192,73.30625,99.73774,84.13805,84.57861,82.39848,77.01174,95.63891,67.46695
ILMN_1769520,51.90137,79.23195,71.00057,111.7278,87.26637,70.35777,74.62228,148.1356,109.7811,159.5572,156.4369,75.15987,125988,163.9115,153.7091,141169,151.6282,194.0492,151.5908,130.3666,145.5341,163.9594
ILMN_2154603,53.44594,60.54238,99.60828,56.87048,68.47142,49.85714,81.55273,58.2033,65.62182,91.8756,92.9504,59.96264,63.24472,65.31663,49.75953,75.98115,102.7111,73.70013,129.8678,79.61805,74.20233,64.40353
ILMN_1695852,186864,321.4496,476.9136,679.8513,399.5527,256.3444,185.6424,589.6703,299.1946,371.1825,687.9226,340386,353.6412,736.2707,304321,550.7997,570.8163,578.5873,359.7697,483.3206,479.1956,419.0059
ILMN_2173891,44.45265,50.72202,48.57777,220.08,64.17162,54.94929,107.5557,84.23943,65.58363,95.76897,83.48208,66.56313,80559,104.8665,98.95581,92.4887,147.7202,133886,89.78337,144.2181,88.39012,88.28738
ILMN_1749738,44.61329,54.33509,54.61481,78.51482,65.48844,53.46316,48.50805,68.6293,57.70529,63.72604,65.53348,62.65713,62.88531,75.4808,64.92986,85.69978,74.24794,78.97707,67.31073,74.39861,67.75024,66.75181
ILMN_1663605,40.88742,51.05976,41.24242,66.09149,49.11561,43.67197,44.34631,53.75597,57.84503,53.43721,68.13897,53.71513,47.54493,61.88161,54.58442,72.40396,58.15227,60.02778,62.54222,59696,61.80847,58.14996
